原问题,一级标签,二级标签,匹配理由
"完成金币任务后没有收到奖励，提示“设备异常，无法领取”怎么办","增长与激励","新人/签到/宝箱等日常任务","主诉是日常金币任务奖励领取失败且提示设备异常"
"为什么编辑页的保存视频功能不见了","创作与投稿","内容编辑","主诉是编辑页保存/存本地入口问题"
"什么是有效粉丝/如何计算有效粉丝","成长变现","经营管理规范","主诉是有效粉丝定义和计算规则"
"我的有效粉丝怎么这么少","成长变现","经营管理规范","主诉是有效粉丝数值少及查看口径"
"我是火山账号，怎么注销？","账号","账号注销","主诉是火山账号注销路径"
"为什么编辑页分享入口没了","创作与投稿","内容编辑","主诉是编辑页分享入口消失"
"为什么我没有天天拆红包/看视频赚金币等活动","增长与激励","新人/签到/宝箱等日常任务","主诉是日常任务/金币活动入口缺失"
"自助解封机会有几次","审核与处罚","账号处罚","主诉是账号处罚自助解封机会规则"
"如何进行账号检测","审核与处罚","账号处罚","主诉是账号检测/处罚查询入口"
"本人的实名信息能否更换绑定账号","账号","实名转移","主诉是实名从一个账号更换绑定到另一个账号"
"提示有「关联账号」如何申请注销","账号","账号注销","主诉是注销时因关联账号受阻"
"如何自己制作小火人/合养精灵","社交","合养精灵","主诉是合养精灵形象制作/创作"
"未发布的作品怎么保存到手机相册呀？","创作与投稿","内容编辑","主诉是未发布作品保存到本地/相册"
"为什么我收到“账号风险提示”","审核与处罚","账号处罚","主诉是收到账号风险提示，属于账号风险/处罚预警咨询"
"如何开通AI分身/想要AI分身","内容分发","AI分身","主诉是AI分身开通条件和入口"
"购物时使用金币/音符抵扣，订单退款后未退回","增长与激励","激励资产问题","主诉是电商购物抵扣资产退款后未退回"
"为什么赚钱任务获得的金币/音符/火苗/现金奖励被扣除清零了","增长与激励","激励资产问题","主诉是无操作下任务资产减少/清零"
"看视频流量消耗异常","基础产品","播放性能/APP性能","主诉是APP流量消耗异常"
"我想知道怎么查看我的抖音账号有没有被处罚以及处罚详情呢？","审核与处罚","账号处罚","主诉是查询账号处罚及详情"
"为什么“打卡领66元”活动消失了","增长与激励","新人/签到/宝箱等日常任务","主诉是签到/领现金任务入口位置变化或消失"
"聊天时，我收到“对方账号存在安全风险的提示”","社交","私信","主诉是私信聊天中出现风险提示文案"
"为什么关闭金币挂件无相关区域","增长与激励","新人/签到/宝箱等日常任务","主诉是想关闭金币/红包挂件但无入口"
"为什么我的作品提示「内容由AI生成」","审核与处罚","作品提示语","主诉是作品下方出现AI生成提示语"
"如何给合养精灵（小火人）改名","社交","合养精灵","主诉是合养精灵改名"
"视频被提示「内容疑似AI生成」怎么办","审核与处罚","作品提示语","主诉是作品出现疑似AI生成提示语"
"我的账号健康分是0分，怎么能加分","审核与处罚","账号处罚","主诉是账号健康分归零后的恢复/加分"
"提示「很遗憾，金币溜走了」","增长与激励","新人/签到/宝箱等日常任务","主诉是日常任务奖励未获且出现规则提示"
"账号被盗后出现直播/电商/生活服务处罚","账号","账号被盗","主诉是被盗后出现非本人导致的处罚"
"账号被盗后出现直播/电商/生活服务处罚","账号","账号被盗","主诉是被盗后出现非本人导致的处罚"
"我被举报了，但是我觉得自己没违规，怎么办？","审核与处罚","内容举报","主诉是被举报后不认可举报/审核结果"
"看视频获得金币少怎么办","增长与激励","新人/签到/宝箱等日常任务","主诉是日常看视频任务奖励少"
"怎么查看举报处理进度呀？","审核与处罚","内容举报","主诉是查询举报处理进度"
"怎么进行账号处罚升级反馈呀？","审核与处罚","账号处罚","主诉是账号处罚申诉后的升级反馈路径"
"完成任务后没有获得奖励怎么办","增长与激励","新人/签到/宝箱等日常任务","主诉是完成日常任务后未获奖励"
"完成任务后没有获得奖励怎么办","增长与激励","新人/签到/宝箱等日常任务","主诉是完成日常任务后未获奖励"
"视频无法播放","基础产品","播放性能/APP性能","主诉是视频无法播放"
"怎么进行账号检测啊？","审核与处罚","账号处罚","主诉是账号检测入口咨询"
"在部分禁止使用私信的处罚申诉场景下怎么处理？","审核与处罚","账号处罚","主诉是私信功能处罚申诉材料要求，仍属账号处罚申诉"
"如何提高账号健康分","审核与处罚","账号处罚","主诉是账号健康分提升方式"
"如何保存未发布的作品到手机相册","创作与投稿","内容编辑","主诉是未发布作品存本地"
"如何解绑企业机构账号的实名认证","账号","企业机构账号通用","主诉是企业机构账号实名认证解绑/释放"
"如何解绑企业机构账号的实名认证","账号","企业机构账号通用","主诉是企业机构账号实名认证解绑/释放"
"为什么在私信/语音通话时提示我需要实名认证","社交","私信","主诉是使用私信/语音通话时提示实名认证"
"我被他人故意举报怎么办","审核与处罚","内容举报","主诉是被他人恶意/故意举报后的处理"
"我怀疑我的抖音账号之前有违规，要怎么去查违规记录呢？","审核与处罚","账号处罚","主诉是查询账号历史违规记录"
"如何关闭沉浸式","基础产品","播放","主诉是播放页沉浸式模式开关"
"能否恢复已删除/找不到的聊天记录","社交","私信","主诉是私信聊天记录恢复"
"如何进行实名更正","账号","实名更正","主诉是实名更正操作路径"
"账号处罚会对我的账号产生哪些影响？","审核与处罚","账号处罚","主诉是账号处罚影响范围咨询"
"为什么我提现了红包活动/赚钱任务的金币奖励到支付宝后未到账","增长与激励","激励资产问题","主诉是任务奖励提现到支付宝成功但未到账"
"我明明发了视频，别人却搜不到，这是为什么？","搜索","广告推荐","主诉是搜索结果里搜不到自己的视频，属于综合搜索结果问题"
