原问题,一级标签,二级标签,匹配理由
"咨询违规原因","审核与处罚","账号处罚","虽表述简短，但核心是咨询违规/处罚原因，归账号处罚"
"为什么头条登录账号失败","账号","账号注册/登录","第三方方式登录失败，标准明确属于账号注册/登录"
"登录时提示操作失败怎么办","账号","账号注册/登录","登录过程提示操作失败，属于账号注册/登录异常"
"如何开启精灵AI聊天合养人档案","社交","合养精灵","合养人档案是精灵AI聊天衍生功能，归合养精灵"
"我的账号被封了，怎么才能注销账号？","账号","账号注销","封禁账号能否注销及操作限制，属于账号注销"
"账号处罚变更后还能再次申诉吗","审核与处罚","账号处罚","咨询处罚变更后的再次申诉规则，属于账号处罚"
"我账号有点违规被处罚了，想自己解除处罚，该点哪里操作？","审核与处罚","账号处罚","咨询账号处罚自助解除入口，归账号处罚"
"如何锁定保护企业机构账号","账号","企业机构账号通用","企业机构账号锁定保护操作咨询，属于企业机构账号通用问题"
"发危险行为的视频，账号会受啥处罚呀？","审核与处罚","账号处罚","询问发布违规内容后账号处罚后果，属于账号处罚规则咨询"
"我想看看我的账号功能使用正不正常，咋操作呢？","审核与处罚","账号处罚","通过账号检测查看功能是否受限，本质是账号处罚/状态查询"
"作品受处罚了，没有申诉按钮怎么办呀？","审核与处罚","内容处罚","对象是作品而非账号，咨询作品处罚无申诉入口，归内容处罚"
"我的账号处于封禁状态，能注销吗？","账号","账号注销","封禁状态下注销限制，明确属于账号注销"
"头像边上为什么有一个绿色加号","社交","日常","绿色加号对应日常发布入口，属于日常功能咨询"
"为什么发布关于【NBA/CBA】等体育赛事的视频收到版权来源的的处罚","权益保护","侵权举报/申诉","因版权/侵权导致处罚，核心是侵权规则与处理，归侵权举报/申诉"
"开启精灵AI聊天功能后小火人为什么不说话","社交","合养精灵","精灵AI聊天开启后互动异常，属于合养精灵功能问题"
"聊天中添加小火人及开启精灵 AI 聊天功能的方法","社交","合养精灵","询问小火人/精灵AI聊天开启和使用方法，归合养精灵"
"一张身份证可以实名认证几个抖音账号","账号","实名认证","咨询实名认证绑定规则，一证几号，标准明确属于实名认证"
"账号进行转移后怎样重新实名认证","账号","实名转移","围绕实名转移后重新认证规则，属于实名转移"
"头像下的绿色+号怎么关闭","社交","日常","绿色加号关闭诉求对应日常入口相关问题"
"账号注销可以释放实名吗？","账号","账号注销","咨询注销后实名是否释放，标准明确属于账号注销"
"怎样提升有效粉丝数","成长变现","经营管理规范","有效粉丝提升、计算和规则咨询，直接对应经营管理规范"
"怎么看账号流量是否被限流？","内容分发","作品流量","咨询账号流量是否异常/被限流，属于作品/账号流量问题"
"账号注销需要多久","账号","账号注销","询问注销完成时效，直接属于账号注销"
"账号状态异常无法更改实名","账号","实名更正","账号异常导致无法更正实名，属于实名更正限制场景"
"发布中为什么会弹出「身份安全验证」","创作与投稿","内容发布","发布作品时出现身份安全验证，标准中明确归内容发布"
"账号因为封禁不能注销，要怎么解决？","账号","账号注销","因封禁无法注销的处理方式，属于账号注销"
"为什么视频无法投放DOU+","内容分发","DOU+","直接咨询视频无法投放DOU+，标签完全匹配"
"完成金币任务后没有收到奖励，提示“设备异常，无法领取”怎么办","增长与激励","站外push通知/APP角标","属于新人/签到/宝箱等日常任务中奖励领取异常，标准此类归该二级标签"
"为什么编辑页的保存视频功能不见了","创作与投稿","内容编辑","编辑页保存/存本地入口问题，属于内容编辑"
"什么是有效粉丝/如何计算有效粉丝","成长变现","经营管理规范","咨询有效粉丝定义和计算口径，直接对应经营管理规范"
"我的有效粉丝怎么这么少","成长变现","经营管理规范","围绕有效粉丝数值少、统计口径咨询，归经营管理规范"
"我是火山账号，怎么注销？","账号","账号注销","火山账号注销路径咨询，仍属账号注销"
"为什么编辑页分享入口没了","创作与投稿","内容编辑","编辑页分享入口位置/缺失问题，归内容编辑"
"为什么我没有天天拆红包/看视频赚金币等活动","增长与激励","站外push通知/APP角标","没有日常任务/金币活动入口，按标准归新人/签到/宝箱等日常任务所在标签"
"自助解封机会有几次","审核与处罚","账号处罚","咨询账号处罚自助解封次数/资格，属于账号处罚"
"如何进行账号检测","审核与处罚","账号处罚","账号检测用于查询处罚与状态，归账号处罚"
"本人的实名信息能否更换绑定账号","账号","实名转移","核心是实名在账号间更换绑定，属于实名转移/转移规则咨询"
"提示有「关联账号」如何申请注销","账号","账号注销","注销过程中因关联账号受阻，属于账号注销权限解除场景"
"如何自己制作小火人/合养精灵","社交","合养精灵","咨询合养精灵/小火人的制作玩法，直接归合养精灵"
"未发布的作品怎么保存到手机相册呀？","创作与投稿","内容编辑","未发布作品存本地/保存到相册，属于内容编辑"
"为什么我收到“账号风险提示”","审核与处罚","账号处罚","收到账号风险提示，本质是账号违规/风险提示咨询，归账号处罚"
"如何开通AI分身/想要AI分身","内容分发","AI分身","直接咨询AI分身开通条件与入口，完全匹配"
"购物时使用金币/音符抵扣，订单退款后未退回","增长与激励","激励资产问题","电商购物使用金币抵扣后退款未退回，标准中明确归激励资产问题"
"为什么赚钱任务获得的金币/音符/火苗/现金奖励被扣除清零了","增长与激励","激励资产问题","无操作情况下资产减少/清零，标准明确归激励资产问题"
"看视频流量消耗异常","基础产品","播放性能/APP性能","反馈APP流量消耗异常，标准中明确属于播放性能/APP性能"
"我想知道怎么查看我的抖音账号有没有被处罚以及处罚详情呢？","审核与处罚","账号处罚","查询账号处罚及处罚详情，直接归账号处罚"
"为什么“打卡领66元”活动消失了","增长与激励","站外push通知/APP角标","签到领现金任务位置/入口消失，属于日常任务入口问题"
"聊天时，我收到“对方账号存在安全风险的提示”","社交","私信","私信聊天中出现风险提示文案，标准中私信风险提示明确归私信"
"为什么关闭金币挂件无相关区域","增长与激励","站外push通知/APP角标","想关闭金币/红包挂件，属于日常任务挂件关闭问题"
"为什么我的作品提示「内容由AI生成」","审核与处罚","作品提示语","作品下方出现AI生成提示语，直接对应作品提示语"
"如何给合养精灵（小火人）改名","社交","合养精灵","小火人改名属于合养精灵功能使用问题"
"视频被提示「内容疑似AI生成」怎么办","审核与处罚","作品提示语","作品出现“内容疑似AI生成”提示，属于作品提示语"
"我的账号健康分是0分，怎么能加分","审核与处罚","账号处罚","账号健康分及恢复方式属于账号处罚后果与处理"
"提示「很遗憾，金币溜走了」","增长与激励","站外push通知/APP角标","日常任务/金币奖励提示异常，归日常任务奖励问题"
"账号被盗后出现直播/电商/生活服务处罚","账号","账号被盗","前因是账号被盗并引发处罚，标准明确归账号被盗"
"我被举报了，但是我觉得自己没违规，怎么办？","审核与处罚","内容举报","用户被他人举报后不认可结果/担心被处理，归内容举报"
"看视频获得金币少怎么办","增长与激励","站外push通知/APP角标","吐槽看视频赚金币奖励少，属于日常任务奖励少"
"怎么查看举报处理进度呀？","审核与处罚","内容举报","咨询举报处理进度，直接对应内容举报"
"怎么进行账号处罚升级反馈呀？","审核与处罚","账号处罚","咨询账号处罚申诉后的升级反馈路径，属于账号处罚"
"完成任务后没有获得奖励怎么办","增长与激励","站外push通知/APP角标","完成任务未获奖励，属于日常任务奖励异常"
"视频无法播放","基础产品","播放性能/APP性能","直接反馈视频无法播放，完全匹配播放性能/APP性能"
"怎么进行账号检测啊？","审核与处罚","账号处罚","账号检测用于查询处罚状态，归账号处罚"
"在部分禁止使用私信的处罚申诉场景下怎么处理？","审核与处罚","账号处罚","针对私信功能限制处罚的申诉，标准中属于账号处罚"
"如何提高账号健康分","审核与处罚","账号处罚","账号健康分提升本质是处罚影响及恢复机制，归账号处罚"
"如何保存未发布的作品到手机相册","创作与投稿","内容编辑","未发布作品保存到本地/相册，属于内容编辑"
"如何解绑企业机构账号的实名认证","账号","企业机构账号通用","企业机构账号实名认证解绑/释放，归企业机构账号通用"
"为什么在私信/语音通话时提示我需要实名认证","社交","私信","私信/语音通话提示实名认证，标准中私信明确覆盖"
"我被他人故意举报怎么办","审核与处罚","内容举报","被恶意举报及不认可举报影响，属于内容举报"
"我怀疑我的抖音账号之前有违规，要怎么去查违规记录呢？","审核与处罚","账号处罚","核心是查询账号违规记录，归账号处罚"
"如何关闭沉浸式","基础产品","播放","沉浸式播放模式开关咨询，标准明确归播放"
"能否恢复已删除/找不到的聊天记录","社交","私信","咨询删除或丢失聊天记录恢复，标准中私信明确覆盖"
"如何进行实名更正","账号","实名更正","直接咨询实名更正流程，完全匹配"
"账号处罚会对我的账号产生哪些影响？","审核与处罚","账号处罚","咨询账号处罚影响范围，属于账号处罚规则"
"为什么我提现了红包活动/赚钱任务的金币奖励到支付宝后未到账","增长与激励","激励资产问题","红包/赚钱任务提现到支付宝成功但未到账，标准明确归激励资产问题"
"我明明发了视频，别人却搜不到，这是为什么？","搜索","广告推荐","用户反馈搜索搜不到自己的视频，属于综合搜索结果相关问题"
