原问题,一级标签,二级标签,匹配理由
"购物时使用金币/音符抵扣，订单退款后未退回","增长与激励","激励资产问题","电商购物使用金币抵扣后退款未退回"
"为什么赚钱任务获得的金币/音符/火苗/现金奖励被扣除清零了","增长与激励","激励资产问题","资产无操作下减少/清零"
"看视频流量消耗异常","基础产品","播放性能/APP性能","反馈APP流量消耗异常"
"我想知道怎么查看我的抖音账号有没有被处罚以及处罚详情呢？","审核与处罚","账号处罚","查询账号处罚及详情"
"为什么“打卡领66元”活动消失了","增长与激励","新人/签到/宝箱等日常任务","签到领现金任务入口/位置变化"
"聊天时，我收到“对方账号存在安全风险的提示”","社交","私信","私信聊天场景出现风险提示文案"
"为什么关闭金币挂件无相关区域","增长与激励","新人/签到/宝箱等日常任务","想关闭金币/红包挂件但无入口"
"为什么我的作品提示「内容由AI生成」","审核与处罚","作品提示语","作品下方出现AI生成提示语"
"如何给合养精灵（小火人）改名","社交","合养精灵","咨询合养精灵改名操作"
"视频被提示「内容疑似AI生成」怎么办","审核与处罚","作品提示语","作品被打AI生成提示语"
"我的账号健康分是0分，怎么能加分","审核与处罚","账号处罚","健康分归零后的恢复/加分规则"
"提示「很遗憾，金币溜走了」","增长与激励","新人/签到/宝箱等日常任务","日常任务奖励提示金币溜走"
"账号被盗后出现直播/电商/生活服务处罚","账号","账号被盗","因被盗导致出现非本人处罚"
"账号被盗后出现直播/电商/生活服务处罚","账号","账号被盗","因被盗导致出现非本人处罚"
"我被举报了，但是我觉得自己没违规，怎么办？","审核与处罚","内容举报","被举报后不认可结果/担心处罚"
"看视频获得金币少怎么办","增长与激励","新人/签到/宝箱等日常任务","吐槽看视频赚金币奖励少"
"怎么查看举报处理进度呀？","审核与处罚","内容举报","咨询举报处理进度查询"
"怎么进行账号处罚升级反馈呀？","审核与处罚","账号处罚","针对账号处罚提交升级反馈"
"完成任务后没有获得奖励怎么办","增长与激励","新人/签到/宝箱等日常任务","完成日常任务后未获奖励"
"完成任务后没有获得奖励怎么办","增长与激励","新人/签到/宝箱等日常任务","完成日常任务后未获奖励"
"视频无法播放","基础产品","播放性能/APP性能","直接反馈视频无法播放"
"怎么进行账号检测啊？","审核与处罚","账号处罚","咨询账号检测入口"
"在部分禁止使用私信的处罚申诉场景下怎么处理？","审核与处罚","账号处罚","私信功能限制处罚的申诉处理"
"如何提高账号健康分","审核与处罚","账号处罚","咨询账号健康分提升"
"如何保存未发布的作品到手机相册","创作与投稿","内容编辑","未发布作品保存到本地/相册"
"如何解绑企业机构账号的实名认证","账号","企业机构账号通用","企业机构账号实名解绑/释放"
"如何解绑企业机构账号的实名认证","账号","企业机构账号通用","企业机构账号实名解绑/释放"
"为什么在私信/语音通话时提示我需要实名认证","社交","私信","私信/语音通话场景提示实名认证"
"我被他人故意举报怎么办","审核与处罚","内容举报","被恶意举报后的处理咨询"
"我怀疑我的抖音账号之前有违规，要怎么去查违规记录呢？","审核与处罚","账号处罚","查询历史违规记录"
"如何关闭沉浸式","基础产品","播放","咨询关闭沉浸式播放"
"能否恢复已删除/找不到的聊天记录","社交","私信","咨询聊天记录恢复"
"如何进行实名更正","账号","实名更正","直接咨询实名更正流程"
"账号处罚会对我的账号产生哪些影响？","审核与处罚","账号处罚","咨询账号处罚影响范围"
"为什么我提现了红包活动/赚钱任务的金币奖励到支付宝后未到账","增长与激励","激励资产问题","赚钱任务提现到支付宝成功但未到账"
"我明明发了视频，别人却搜不到，这是为什么？","搜索","广告推荐","核心是搜索结果搜不到自己视频"
