原问题,一级标签,二级标签,匹配理由
账号进行转移后怎样重新实名认证,账号,实名转移,实名转移后重新认证规则咨询
头像下的绿色+号怎么关闭,社交,日常,咨询关闭日常绿色加号入口
账号注销可以释放实名吗？,账号,账号注销,咨询注销后实名是否释放
怎样提升有效粉丝数,成长变现,经营管理规范,咨询有效粉丝增长方式
怎么看账号流量是否被限流？,内容分发,作品流量,咨询账号流量是否异常/被限流
账号注销需要多久,账号,账号注销,咨询注销完成时长/冷静期
账号状态异常无法更改实名,账号,实名更正,账号异常导致无法更正实名
发布中为什么会弹出「身份安全验证」,创作与投稿,内容发布,发布作品时出现身份安全验证
账号因为封禁不能注销，要怎么解决？,账号,账号注销,封禁导致无法注销
为什么视频无法投放DOU+,内容分发,DOU+,咨询DOU+无法投放
完成金币任务后没有收到奖励，提示“设备异常，无法领取”怎么办,增长与激励,新人/签到/宝箱等日常任务,日常任务领奖提示设备异常
为什么编辑页的保存视频功能不见了,创作与投稿,内容编辑,编辑页保存本地入口问题
什么是有效粉丝/如何计算有效粉丝,成长变现,经营管理规范,咨询有效粉丝定义与计算规则
我的有效粉丝怎么这么少,成长变现,经营管理规范,咨询有效粉丝数值少/计算口径
我是火山账号，怎么注销？,账号,账号注销,咨询火山账号注销方式
为什么编辑页分享入口没了,创作与投稿,内容编辑,编辑页分享入口消失
为什么我没有天天拆红包/看视频赚金币等活动,增长与激励,新人/签到/宝箱等日常任务,无日常任务入口/无法参与赚金币活动
自助解封机会有几次,审核与处罚,账号处罚,咨询账号处罚自助解封次数/机会
如何进行账号检测,审核与处罚,账号处罚,咨询账号检测入口
本人的实名信息能否更换绑定账号,账号,实名转移,咨询实名在账号间更换绑定
提示有「关联账号」如何申请注销,账号,账号注销,注销时提示关联账号需解除权限
如何自己制作小火人/合养精灵,社交,合养精灵,咨询合养精灵形象制作玩法
未发布的作品怎么保存到手机相册呀？,创作与投稿,内容编辑,咨询未发布作品保存到本地
为什么我收到“账号风险提示”,审核与处罚,账号处罚,收到账号风险提示，属于账号风险/处罚提示咨询
如何开通AI分身/想要AI分身,内容分发,AI分身,咨询AI分身开通条件与入口
购物时使用金币/音符抵扣，订单退款后未退回,增长与激励,激励资产问题,电商购物使用资产抵扣后退款未退回
为什么赚钱任务获得的金币/音符/火苗/现金奖励被扣除清零了,增长与激励,激励资产问题,资产突然减少/清零
看视频流量消耗异常,基础产品,播放性能/APP性能,反馈APP流量消耗异常
我想知道怎么查看我的抖音账号有没有被处罚以及处罚详情呢？,审核与处罚,账号处罚,查询账号处罚及处罚详情
为什么“打卡领66元”活动消失了,增长与激励,新人/签到/宝箱等日常任务,签到类日常任务入口/位置变化
聊天时，我收到“对方账号存在安全风险的提示”,社交,私信,私信出现账号风险提示文案
为什么关闭金币挂件无相关区域,增长与激励,新人/签到/宝箱等日常任务,想关闭金币挂件/任务入口
为什么我的作品提示「内容由AI生成」,审核与处罚,作品提示语,作品下方出现AI生成提示语
如何给合养精灵（小火人）改名,社交,合养精灵,咨询精灵昵称修改
视频被提示「内容疑似AI生成」怎么办,审核与处罚,作品提示语,作品下方提示内容疑似AI生成
我的账号健康分是0分，怎么能加分,审核与处罚,账号处罚,账号健康分恢复/加分咨询
提示「很遗憾，金币溜走了」,增长与激励,新人/签到/宝箱等日常任务,日常任务奖励提示未获得
账号被盗后出现直播/电商/生活服务处罚,账号,账号被盗,被盗导致出现非本人处罚
我被举报了，但是我觉得自己没违规，怎么办？,审核与处罚,内容举报,被举报后对结果/处理有异议
看视频获得金币少怎么办,增长与激励,新人/签到/宝箱等日常任务,吐槽看视频赚金币奖励少
怎么查看举报处理进度呀？,审核与处罚,内容举报,查询举报处理进度
怎么进行账号处罚升级反馈呀？,审核与处罚,账号处罚,账号处罚申诉后升级反馈咨询
完成任务后没有获得奖励怎么办,增长与激励,新人/签到/宝箱等日常任务,完成日常任务后未得奖励
视频无法播放,基础产品,播放性能/APP性能,视频无法播放
怎么进行账号检测啊？,审核与处罚,账号处罚,咨询账号检测路径
在部分禁止使用私信的处罚申诉场景下怎么处理？,审核与处罚,账号处罚,私信功能处罚申诉仍属账号处罚场景
如何提高账号健康分,审核与处罚,账号处罚,咨询账号健康分提升方式
如何保存未发布的作品到手机相册,创作与投稿,内容编辑,咨询未发布作品存本地方法
如何解绑企业机构账号的实名认证,账号,企业机构账号通用,企业机构账号实名解绑/释放咨询
为什么在私信/语音通话时提示我需要实名认证,社交,私信,私信/语音通话时提示实名认证
我被他人故意举报怎么办,审核与处罚,内容举报,被恶意举报相关咨询
我怀疑我的抖音账号之前有违规，要怎么去查违规记录呢？,审核与处罚,账号处罚,查询历史违规记录
如何关闭沉浸式,基础产品,播放,咨询关闭沉浸式播放
能否恢复已删除/找不到的聊天记录,社交,私信,咨询恢复已删除或丢失聊天记录
如何进行实名更正,账号,实名更正,咨询实名更正操作路径
账号处罚会对我的账号产生哪些影响？,审核与处罚,账号处罚,咨询账号处罚影响范围
为什么我提现了红包活动/赚钱任务的金币奖励到支付宝后未到账,增长与激励,激励资产问题,赚钱任务提现到支付宝后未到账
我明明发了视频，别人却搜不到，这是为什么？,搜索,广告推荐,搜索结果搜不到指定视频，属综合搜索结果问题
